
Osada koczowników (368|506) K53 
Wioska barbarzyñska (374|516) K53 
Osada koczowników (377|503) K53 
Osada koczowników (376|516) K53 
Wioska barbarzyñska (372|505) K53 
Wioska barbarzyñska (378|509) K53 
Wioska barbarzyñska (381|514) K53 
Osada koczowników (379|501) K53 
Osada koczowników (379|515) K53 
Wioska barbarzyñska (372|506) K53 
Wioska barbarzyñska (372|510) K53 
Wioska barbarzyñska (383|510) K53 
Wioska barbarzyñska (383|507) K53 
Osada koczowników (377|509) K53 
Wioska barbarzyñska (376|504) K53 
Wioska barbarzyñska (379|510) K53 
Wioska barbarzyñska (382|510) K53 
Wioska barbarzyñska (379|509) K53 
Osada koczowników (373|509) K53 
Wioska barbarzyñska (376|505) K53 
Wioska barbarzyñska (373|516) K53 
Wioska barbarzyñska (382|502) K53 
Osada koczowników (389|506) K53 
Wioska barbarzyñska (365|506) K53 
Wioska barbarzyñska (382|499) K43 
Wioska barbarzyñska (365|514) K53 
Wioska barbarzyñska (366|505) K53 
Wioska barbarzyñska (387|513) K53 
Wioska barbarzyñska (365|504) K53 
Wioska barbarzyñska (383|517) K53 
Wioska barbarzyñska (384|516) K53 
Osada koczowników (367|511) K53 
Wioska barbarzyñska (381|516) K53 
Wioska barbarzyñska (371|500) K53 
Wioska barbarzyñska (387|507) K53 
Wioska barbarzyñska (385|506) K53 
Osada koczowników (370|515) K53 
Wioska barbarzyñska (383|516) K53 
Wioska barbarzyñska (384|501) K53 
Wioska barbarzyñska (367|501) K53 
Wioska barbarzyñska (386|505) K53 
Wioska barbarzyñska (385|503) K53 
Wioska barbarzyñska (386|506) K53 
Wioska barbarzyñska (386|508) K53 
Wioska barbarzyñska (383|501) K53 
Wioska barbarzyñska (376|517) K53 
Osada koczowników (383|503) K53 
